Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
EDURANT,RILPIVIRINE HYDROCHLORIDE,rilpivirine hydrochloride,,CLINICAL PHARMACOLOGY,no,QTcF interval below the threshold of clinical concern,NA
Cotempla XR-ODT,METHYLPHENIDATE,METHYLPHENIDATE,Mixed,wp,most,Sudden death/Heart rate increases,severe
ZELBORAF,VEMURAFENIB,VEMURAFENIB,Arrhythmia,wp,most,QT prolongation,moderate
Kalydeco,IVACAFTOR,ivacaftor,,no,no,NA,NA
Imbruvica,IBRUTINIB,IBRUTINIB,Mixed,wp,most,Cardiac Failure/Cardiac Arrhythmias,severe
Gavreto,PRALSETINIB,PRALSETINIB,Heart Damage,wp,less,Hypertension,mild
Tivicay; Tivicay PD,DOLUTEGRAVIR SODIUM,DOLUTEGRAVIR SODIUM,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,NA
VELTASSA,PATIROMER,patiromer,,no,no,NA,NA
Nexletol,BEMPEDOIC ACID,Bempedoic Acid,Arrhythmia,ar,less,Atrial Fibrillation,mild
Aubagio,TERIFLUNOMIDE,TERIFLUNOMIDE,Heart Damage,wp,less,Increased Blood Pressure,mild
Epidiolex,CANNABIDIOL,CANNABIDIOL,,no,no,NA,NA
LEUKERAN,CHLORAMBUCIL,CHLORAMBUCIL,,no,no,NA,NA
MEKTOVI,BINIMETINIB,BINIMETINIB,Heart Damage,wp,most,Cardiomyopathy,severe
Zorvolex,DICLOFENAC,DICLOFENAC,Heart Damage,bw,most,myocardial infarction ,severe
NURTEC ODT,RIMEGEPANT SULFATE,RIMEGEPANT SULFATE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,NA
Conjupri,LEVAMLODIPINE,LEVAMLODIPINE MALEATE,Heart Damage,wp,most, myocardial infarction,severe
Codeine sulfate,CODEINE SULFATE,CODEINE SULFATE,Heart Damage,wp,less,hypotension ,mild
Nalfon,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,Heart Damage,bw,most,myocardial infarction ,NA
INVOKANA,CANAGLIFLOZIN,canagliflozin,,CLINICAL PHARMACOLOGY,no,No meaningful changes in QTc interval ,NA
Endari,GLUTAMINE,Glutamine,,no,no,NA,NA
BELVIQ XR Extended Release Extended Release,LORCASERIN HYDROCHLORIDE,LORCASERIN HYDROCHLORIDE ANHYDROUS,Mixed,wp,most,Regurgitant cardiac valvular disease/Heart Rate Decreas es,severe
Daliresp,ROFLUMILAST,roflumilast,Arrhythmia,ar,less,atrial fibrillation,mild
DAYVIGO,LEMBOREXANT,LEMBOREXANT,,CLINICAL PHARMACOLOGY,no,not prolong the QTcF interval,NA
Celontin,METHSUXIMIDE,METHSUXIMIDE,,no,no,NA,NA
Levocarnitine,LEVOCARNITINE,LEVOCARNITINE,,no,no,NA,NA
PIQRAY,ALPELISIB,ALPELISIB,,sp,ambiguous,hypersensitivity reactions:tachycardia,mild
BELSOMRA,SUVOREXANT,suvorexant,Arrhythmia,ar,less,tachycardia,mild
Ocaliva,OBETICHOLIC ACID,Obeticholic Acid,,CLINICAL PHARMACOLOGY,no,not prolong the QTcF interval,NA
Talzenna,TALAZOPARIB,TALAZOPARIB TOSYLATE,,CLINICAL PHARMACOLOGY,ambiguous,"no large QTc prolongation (i.e., >20 ms)",NA
Karbinal ER,CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE,Mixed,ar,less,tachycardia/Hypotension,mild
E.E.S; E.E.S 400,ERYTHROMYCIN ETHYLSUCCINATE,Erythromycin Ethylsuccinate,Arrhythmia,wp,most,torsades de pointes,moderate
Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,,sp,ambiguous,cardiovascular death in  elderly patients,severe
Bupropion Hydrochloride (XL),BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,Heart Damage,wp,less,hypertension,mild
Desvenlafaxine Succinate,DESVENLAFAXINE SUCCINATE,DESVENLAFAXINE SUCCINATE,Heart Damage,wp,less,Elevated Blood Pressure,mild
Tetrabenazine,TETRABENAZINE,TETRABENAZINE,Mixed,wp,most,QTc Prolongation/Hypotension,moderate
Naltrexone Hydrochloride,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Mixed,ar,less,tachycardia/ increased blood pressure,mild
Cefuroxime axetil,CEFUROXIME AXETIL,CEFUROXIME AXETIL,Mixed,ar,less,chest pain/tachycardia ,moderate
Pyrimethamine,PYRIMETHAMINE,PYRIMETHAMINE,Arrhythmia,ar,less,disorders of cardiac rhythm,mild
Alprazolam,ALPRAZOLAM,ALPRAZOLAM,Mixed,ar,less ,hypotension/Tachycardia,mild
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE,,no,no,NA,NA
Isradipine,ISRADIPINE,ISRADIPINE,Heart Damage,wp,less,symptomatic hypotension,mild
Atovaquone,ATOVAQUONE,ATOVAQUONE,,no,no,NA,NA
Calcium Acetate,CALCIUM ACETATE,CALCIUM ACETATE,,no,no,NA,NA
Indomethacin,INDOMETHACIN,INDOMETHACIN,Heart Damage,bw,most,myocardial infarction,severe
Sucralfate,SUCRALFATE,SUCRALFATE,,no,no,NA,NA
Bosentan,BOSENTAN,BOSENTAN ANHYDROUS,Mixed,ar,less,Palpitations/Hypotension,mild
Desmopressin Acetate,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,,sp,ambiguous,possible rise in blood pressure in patients with coronary artery insufficiency,NA
Glipizide,GLIPIZIDE,GLIPIZIDE,,sp,ambiguous,cardiovascular mortality with Sulfonylureas,severe
COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,Mixed,ar,less,angina/tachycardia ,moderate
Felbamate,FELBAMATE,FELBAMATE,Mixed,ar,less,tachycardia/cardiac failure,severe
HYDROXYUREA,HYDROXYUREA,HYDROXYUREA,,no,no,NA,NA
Loxapine,LOXAPINE,LOXAPINE SUCCINATE,Mixed,ar,less,Tachycardia/hypotension,severe
METHYLPREDNISOLONE,METHYLPREDNISOLONE,METHYLPREDNISOLONE,,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),mild
PIOGLITAZONE,PIOGLITAZONE,PIOGLITAZONE,Heart Damage,bw,most,CONGESTIVE HEART FAILURE,severe
acyclovir,ACYCLOVIR,ACYCLOVIR,,no,no,NA,NA
Morphine Sulfate Extended Release,MORPHINE SULFATE,MORPHINE SULFATE,Heart Damage,wp,less,hypotension,mild
Paroxetine,PAROXETINE,PAROXETINE HYDROCHLORIDE HEMIHYDRATE,Mixed,ar,less,tachycardia/ hypertension,mild
Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,Mixed,wp,less,syncope /tachycardia,mild
ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,Mixed,ar,less,tachycardia/angina pectoris,mild
Mycophenolic Acid,MYCOPHENOLIC ACID,MYCOPHENOLATE SODIUM,Mixed,ar,less,tachycardia/ Hypertension,mild
Triamterene,TRIAMTERENE CAPSULES,TRIAMTERENE,,no,no,NA,NA
RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,Mixed,wp,most,acute myocardial infarction/Arrhythmi,severe
Tacrolimus,TACROLIMUS; TACROLIMUS CAPSULES,TACROLIMUS,Mixed,wp,most,prolong the QT/QTc interval /Myocardial Hypertrophy ,moderate
ibuprofen,IBUPROFEN,IBUPROFEN,Heart Damage,bw,most,myocardial infarction,severe
Hydrocortisone,HYDROCORTISONE,HYDROCORTISONE,,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),mild
Rufinamide,RUFINAMIDE,RUFINAMIDE,Arrhythmia,wp,less,QT Shortening,mild
Cimetidine,CIMETIDINE HYDROCHLORIDE,CIMETIDINE HYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild
Clonidine hydrochloride,CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE,Arrhythmia,wp,less,atrioventricular (AV) block,mild
methazolamide,METHAZOLAMIDE,METHAZOLAMIDE,,no,no,NA,NA
Metoprolol Succinate,METOPROLOL SUCCINATE,METOPROLOL TARTRATE,Heart Damage,bw,most,myocardial infarction,severe
Sirolimus,SIROLIMUS,SIROLIMUS,Mixed,ar,less,Pericardial effusion/tachycardia,severe
Torsemide,TORSEMIDE,TORSEMIDE,Mixed,ar,less,atrial fibrillation/hypotension,mild
Oxcarbazepine,OXCARBAZEPINE,OXCARBAZEPINE,Mixed,ar,less,cardiac failure/tachycardia,severe
"Ergocalciferol Capsules,","ERGOCALCIFEROL CAPSULES,",ERGOCALCIFEROL,,sp,ambiguous,hypertension(Impairment of renal function),mild
Clindamycin Palmitate Hydrochloride,CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLINDAMYCIN PALMITATE HYDROCHLORIDE,,no,no,NA,NA
meloxicam,MELOXICAM,MELOXICAM,Heart Damage,bw,most,myocardial infarction,severe
PredniSONE,PREDNISONE,PREDNISONE,,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),NA
METHITEST,METHYLTESTOSTERONE,METHYLTESTOSTERONE,Heart Damage,ar,less,Myocardial infarction,severe
Glycopyrrolate,GLYCOPYRROLATE,GLYCOPYRROLATE,Arrhythmia,ar,less,tachycardia,mild
deferasirox,DEFERASIROX,DEFERASIROX,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,NA
Isoniazid,ISONIAZID,ISONIAZID,,no,no,NA,NA
FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,Heart Damage,ar,less,cardiac enlargemen/congestive heart failure,severe
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,Mixed,wp,most,Heart failure/Atrioventricular block,severe
Zileuton,ZILEUTON,ZILEUTON,,no,no,NA,NA
Propantheline Bromide,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,Arrhythmia,ar,less,tachycardia,mild
Sertraline,SERTRALINE,SERTRALINE HYDROCHLORIDE,Arrhythmia,wp,most,"QTc prolongation and Torsade de
Pointes (TdP)",moderate
Bisoprolol Fumarate,BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,Heart Damage,wp,most, cardiac failure,severe
Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,VARDENAFIL,Arrhythmia,wp,most,Congenital or Acquired QT Prolongation,moderate
Aminocaproic acid,AMINOCAPROIC ACID,AMINOCAPROIC ACID,Heart Damage,wp,less,cardiac and hepatic lesions ,mild
Telmisartan,TELMISARTAN,TELMISARTAN,Heart Damage,wp,less,hypotension,mild
LAMOTRIGINE,LAMOTRIGINE,LAMOTRIGINE,Mixed,ar,less, hypertension/palpitations,mild
Fenofibrate,FENOFIBRATE,FENOFIBRATE,,no,no,no effect on coronary heart disease,NA
montelukast sodium,MONTELUKAST SODIUM,MONTELUKAST SODIUM,Arrhythmia,ar,less,palpitations,mild
Metolazone,METOLAZONE,METOLAZONE,Mixed,ar,less,palpitations/Chest pain,mild
Disulfiram,DISULFIRAM,DISULFIRAM,,no,no,NA,NA
Megestrol Acetate,MEGESTROL ACETATE,MEGESTROL ACETATE,Mixed,ar,less,cardiomyopathy/ palpitation,severe
METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,Heart Damage,bw,most,myocardial infarction,severe
acarbose,ACARBOSE,ACARBOSE,,no,no,NA,NA
Clindamycin Hydrochloride,CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,,no,no,NA,NA
Jencycla,NORETHINDRONE,NORETHINDRONE,,no,no,NA,NA
GLYBURIDE,GLYBURIDE,GLYBURIDE,,sp,ambiguous,cardiovascular mortality with Sulfonylureas,NA
Estropipate,ESTROPIPATE,ESTROPIPATE,Heart Damage,bw,most,myocardial infarction,severe
Levocetirizine Dihydrochloride,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild
colchicine,COLCHICINE,COLCHICINE,,no,no,NA,NA
PENTOXIFYLLINE,PENTOXIFYLLINE,PENTOXIFYLLINE,Mixed,ar,less,Angina/Arrhythmia,moderate
zaleplon,ZALEPLON,ZALEPLON,Mixed,ar,less,tachycardia/ angina pectoris,mild
METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,Arrhythmia,ar,less,tachycardia,mild
KETOCONAZOLE,KETOCONAZOLE,KETOCONAZOLE,Arrhythmia,bw,most,"life-threatening ventricular
dysrhythmias ",severe
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,Heart Damage,wp,less,symptomatic hypotension,mild
Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,Mixed,ar,less,tachycardia/hypertension,mild
Quinidine Gluconate,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,Arrhythmia,ar,Less,arrhythmia,severe
Amoxapine,AMOXAPINE,AMOXAPINE,Mixed,ar,less,tachycardia/hypertension,mild
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,Mixed,ar,less,tachycardia/ Increased or decreased blood pressure,mild
Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,LABETALOL,Heart Damage,wp,most,Congestive heart failure,severe
Dofetilide,DOFETILIDE,DOFETILIDE,Arrhythmia,bw,most,arrhythmia,mild
Modafinil,MODAFINIL,MODAFINIL,,sp,ambiguous,Hypersensitivity Reactions:myocarditis,severe
Famciclovir,FAMCICLOVIR,FAMCICLOVIR,Arrhythmia,ar,less,Palpitations,mild
Albuterol,ALBUTEROL,Albuterol,Mixed,wp,most,prolongation of the QTc interval/hypertension,moderate
Ethambutol Hydrochloride,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,,sp,ambiguous,Hypersensitivity syndrome:myocarditis,severe
GEMFIBROZIL,GEMFIBROZIL,GEMFIBROZIL,Arrhythmia,ar,less,extrasystoles,mild
Melphalan,"MELPHALAN USP, 2 MG",MELPHALAN,Arrhythmia,ar,less,Cardiac arrest,severe
Diazepam,DIAZEPAM,DIAZEPAM,Heart Damage,ar,less,hypotension,mild
Bosentan,BOSENTAN,BOSENTAN,Mixed,ar,less ,Palpitations/Hypotension,mild
Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Chlorthalidone,CHLORTHALIDONE,CHLORTHALIDONE,Heart Damage,ar,less,hypotension,mild
Fluvastatin,FLUVASTATIN,FLUVASTATIN SODIUM,Mixed,ar,less,Atrial fibrillation/Hypertension,mild
Probenecid,PROBENECID,PROBENECID,,no,no,NA,NA
Guanfacine,GUANFACINE,GUANFACINE HYDROCHLORIDE,Mixed,wp,less,decreases in blood pressure/heart rate,mild
almotriptan,ALMOTRIPTAN,almotriptan malate,Mixed,wp,most,acute myocardial infarction/cardiac rhythm,severe
Colesevelam,COLESEVELAM,COLESEVELAM HYDROCHLORIDE,,no,no,NA,NA
NIZATIDINE,NIZATIDINE,NIZATIDINE,Arrhythmia,ar,less,ventricular tachycardia ,moderate
TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,,no,no,NA,NA
Cartia XT,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,Mixed,wp,most,third-degree AV block/hypotension,moderate
Felodipine,FELODIPINE,FELODIPINE,Heart Damage,wp,less,hypotension,mild
Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM,Arrhythmia,ar,less,Hypertension,mild
Cephalexin,CEPHALEXIN,CEPHALEXIN,,no,no,NA,NA
Diazoxide,DIAZOXIDE,DIAZOXIDE,Mixed,ar,less,Tachycardia//Chest pain,mild
Ritonavir,RITONAVIR,RITONAVIR,Mixed,wp,most,cardiomyopathy/third degree atrioventricular block,severe
Acetazolamide,ACETAZOLAMIDE,ACETAZOLAMIDE,,no,no,NA,NA
Lorazepam,LORAZEPAM,LORAZEPAM,,sp,ambiguous,"hypotension may occur but are usually not clinically
significant",mild
Lurasidone Hydrochloride,LURASIDONE HYDROCHLORIDE,LURASIDONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Dutasteride,DUTASTERIDE,DUTASTERIDE,Heart Damage,ar,less,cardiac failure ,severe
Exemestane,EXEMESTANE,Exemestane,Heart Damage,ar,less,"myocardial infarction, angina, and myocardial ischemia",severe
Fosinopril sodium,FOSINOPIRL SODIUM; FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,Heart Damage,wp,less,hypotension,mild
Sodium Phenylbutyrate,SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,Arrhythmia,ar,less,arrhythmia,mild
Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,Mixed,wp,most,QTc Prolongation/Hypotension,moderate
ENTECAVIR,ENTECAVIR,ENTECAVIR ANHYDROUS,,no,no,NA,NA
cilostazol,CILOSTAZOL,CILOSTAZOL,Mixed,wp,most,tachyarrhythmia/ hypotension,moderate
OLANZAPINE,OLANZAPINE,OLANZAPINE,Mixed,wp,less,hypotension /tachycardia,mild
Disopyramide Phosphate,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,Mixed,wp,most,congestive heart failure/Q-T Prolongation,severe
Danazol,DANAZOL,DANAZOL,Mixed,wp,less,cardiac or renal dysfunction,mild
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,Heart Damage,wp,less,symptomatic hypotension,mild
doxycycline,DOXYCYCLINE,DOXYCYCLINE,,sp,ambiguous,Hypersensitivity Reactions:pericarditis,severe
Ergomar Sublingual,ERGOTAMINE TARTRATE,Ergotamine Tartrate,Mixed,ar,less,tachycardia/ischemia,mild
Azathioprine,AZATHIOPRINE,AZATHIOPRINE,,no,no,NA,NA
Chlorhexidine gluconate,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,,sp,ambiguous,allergic symptoms:rapid heart rate,mild
Carbidopa,CARBIDOPA,CARBIDOPA,Mixed,ar,less,myocardial infarction/palpitation,severe
montelukast sodium,MONTELUKAST SODIUM,MONTELUKAST,Arrhythmia,ar,less,palpitations,mild
Chlordiazepoxide Hydrochloride,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,,no,no,NA,NA
Maraviroc,MARAVIROC,MARAVIROC,Heart Damage,wp,most,myocardial ischemia and/or infarction,severe
Imipramine Pamoate,IMIPRAMINE PAMOATE,IMIPRAMINE PAMOATE,Mixed,ar,less,tachycardia,mild
Flecainide Acetate,FLECAINIDE ACETATE,FLECAINIDE ACETATE,Mixed,bw,most,cardiac arrest/HEART FAILURE,severe
Amantadine HCl,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,Mixed,wp,less,tachycardia/hyper- or hypotension,mild
Ethacrynic acid,ETHACRYNIC ACID,ETHACRYNIC ACID,Heart Damage,wp,less,acute hypotensive episode,mild
eletriptan hydrobromide,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE,Mixed,wp,most,acute myocardial infarction/ventricular tachycardia,severe
Hydroxyzine Pamoate,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,Arrhythmia,wp,most,QT prolongation ,moderate
Erythrocin Stearate,ERYTHROMYCIN STEARATE,ERYTHROMYCIN STEARATE,Arrhythmia,wp,most,QT prolongation ,moderate
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,Heart Damage,wp,less,hypotension,mild
Nabumetone,NABUMETONE,NABUMETONE,Heart Damage,bw,most,myocardial infarction,severe
Sunitinib malate,SUNITINIB MALATE,SUNITINIB MALATE,Mixed,wp,most,cardiomyopathy/QT Interval Prolongation,severe
Cabergoline,CABERGOLINE,CABERGOLINE,Heart Damage,wp,most,cardiac valvulopathy,severe
RASAGILINE,RASAGILINE,RASAGILINE MESYLATE,Heart Damage,wp,less,hypertension,mild
ACITRETIN,ACITRETIN,ACITRETIN,Heart Damage,ar,less,Acute myocardial infarctio,severe
Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,Mixed,wp,most,congestive heart failure/cardiac arrhythmias,severe
Risperidone,RISPERIDONE,RISPERIDONE,Arrhythmia,ar,less,sinus tachycardia,mild
Diclofenac Potassium,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,Heart Damage,bw,most,myocardial infarction,severe
Ramipril,RAMIPRIL,RAMIPRIL,Heart Damage,wp,less,hypotension,mild
PRYIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,,no,no,NA,NA
Solifenacin Succinate,SOLIFENACIN SUCCIATE; SOLIFENACIN SUCCINATE,SOLIFENACIN SUCCINATE,Arrhythmia,ar,less,QT prolongation,moderate
Omeprazole,OMEPRAZOLE,OMEPRAZOLE,Mixed,ar,less,angina/tachycardia,moderate
QUININE SULFATE,QUININE SULFATE,QUININE SULFATE,Arrhythmia,wp,most,QT prolongation,moderate
Didanosine,DIDANOSINE,DIDANOSINE,,sp,ambiguous,non-cirrhotic portal hypertension ,NA
Memantine Hydrochloride,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,Heart Damage,ar,less,cardiac failure congestive,severe
Pioglitazone,PIOGLITAZONE,PIOGLITAZONE HYDROCHLORIDE,Heart Damage,bw,most,congestive heart failure,severe
Zenzedi,DEXTROAMPHETAMINE SULFATE,Dextroamphetamine Sulfate,Heart Damage,bw,most,SUDDEN DEATH/myocardial infarction,severe
Nebivolol,NEBIVOLOL,NEBIVOLOL HYDROCHLORIDE,Arrhythmia,ar,less,bradycardia,mild
voriconazole,VORICONAZOLE,VORICONAZOLE,Arrhythmia,wp,most,QT Prolongation &Torsade de Pointes,severe
Rimantadine Hydrochloride,RIMANTADINE HYDROCHLORIDE,RIMANTADINE HYDROCHLORIDE,Mixed,ar,less,cardiac failure/tachycardia,severe
Efavirenz,EFAVIRENZ,EFAVIRENZ,Arrhythmia,wp,most,QTc prolongation,moderate
CELECOXIB,CELECOXIB,CELECOXIB,Heart Damage,bw,most,myocardial infarction,severe
Cefadroxil,CEFADROXIL HEMIHYDRATE,CEFADROXIL HEMIHYDRATE,,no,no,NA,NA
Sumatriptan Succinate,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,Mixed,wp,most,acute myocardial infarction/ventricular tachycardia,severe
Haloperidol,HALOPERIDOL,HALOPERIDOL,Arrhythmia,wp,most,sudden death/Torsades de Pointes,severe
Clozapine,CLOZAPINE,CLOZAPINE,Mixed,bw,most,Cardiomyopathy/QT Interval Prolongation:,severe
Erlotinib,ERLOTINIB,ERLOTINIB,,sp,ambiguous,myocardial infarction( combination),severe
Azithromycin,AZITHROMYCIN,AZITHROMYCIN ANHYDROUS,Arrhythmia,wp,most,Prolonged QT interval,moderate
Abacavir,ABACAVIR,ABACAVIR SULFATE,Heart Damage,wp,most,myocardial infarction,severe
QUINIDINE SULFATE,QUINIDINE SULFATE TABLET,QUINIDINE SULFATE,Arrhythmia,wp,most,prolongs the QT interval,moderate
Irbesartan,IRBESARTAN,IRBESARTAN,,sp,ambiguous,symptomatic hypotension,mild
Prednisolone Sodium Phosphate,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,Heart Damage,wp,less,elevation of blood pressure,mild
Fosamprenavir Calcium,FOSAMPRENAVIR CALCIUM,FOSAMPRENAVIR CALCIUM,Heart Damage,ar,less,Myocardial infarction,severe
Isosorbide Dinitrate,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,Heart Damage,wp,less,hypotension,mild
Nifedipine,NIFEDIPINE,NIFEDIPINE,Mixed,ar,less,cardiac arrest/hypotension,severe
Fluoxetine,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,Arrhythmia,wp,most,QT Prolongation,moderate
PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,Mixed,ar,less,hypotension/cardiac arrest,mild
Ampicillin,AMPICILLIN,AMPICILLIN TRIHYDRATE,,no,no,NA,NA
Ambrisentan,AMBRISENTAN,AMBRISENTAN,Heart Damage,ar,less,hypotension,severe
Mycophenolic Acid,MYCOPHENILIC ACID,MYCOPHENOLIC ACID,Mixed,ar,less,Tachycardia/hypotension,mild
Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM HEMI-PENTAHYDRATE,Heart Damage,ar,less,Hypertension,mild
Colchicine,COLCHICINE,COLCHICEINE,,no,no,NA,NA
Sotalol Hydrochloride,SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE,Mixed,bw,most," life-threatening ventricular
tachycardia /Heart Failure",severe
Meclizine Hydrochloride,MECLIZINE HYDROCHLORIDE,MECLIZINE HYDROCHLORIDE,,no,no,NA,NA
TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,,no,no,NA,NA
Baclofen,BACLOFEN,BACLOFEN,Mixed,ar,less,palpitation/chest pain,mild
Bethanechol Chloride,BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,Mixed,ar,less,all in blood pressure with reflex tachycardia,mild
Clarithromycin,CLARITHROMYCIN,CLARITHROMYCIN,Arrhythmia,wp,most,prolongation of the QT interval,moderate
CHLORZOXAZONE,CHLORZOXAZONE,CHLORZOXAZONE,,no,no,NA,NA
PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,Arrhythmia,ar,less,QT interval prolongation,moderate
Venlafaxine Hydrochloride,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE,Heart Damage,wp,less,hypertension,mild
vigabatrin,VIGABATRIN,VIGABATRIN,,no,no,no indication of a QT/QTc prolonging effect,NA
Penicillamine,PENICILLAMINE,PENICILLAMINE,,no,no,NA,NA
Sevelamer Hydrochloride,SEVELAMER HYDROCHLORIDE,SEVELAMER HYDROCHLORIDE,,no,no,NA,NA
Metaproterenol Sulfate,METAPROTERENOL SULFATE,METAPROTERENOL SULFATE,Mixed,wp,less,ECG/blood pressure changes,mild
VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR,VALGANCICLOVIR,Mixed,ar,less,arrhythmia/hypotension,mild
Liothyronine sodium,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,Mixed,ar,less,arrhythmias/heart failure,severe
Prasugrel,PRASUGREL,PRASUGREL HYDROCHLORIDE,Mixed,ar,less,Atrial fibrillation/Hypotension,mild
emtricitabine,EMTRICITABINE,EMTRICITABINE,,no,no,NA,NA
Valacyclovir Hydrochloride,VALACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE,,no,no,NA,NA
GAVILAX,GAVILAX,POLYETHYLENE GLYCOL 3350,,no,no,NA,NA
Desloratadine,DESLORATADINE,DESLORATADINE,,CLINICAL PHARMACOLOGY,no,No clinically relevant adverse events,NA
